Mean Square Error (MSE) = 7437.075349478539
Average Difference = 42.87332136478282

ROW		|	PREDICTION	|	TARGET	|	ERROR
311		|	42,63		|	5,17	|	37.46271515151515
312		|	41,06		|	4,23	|	36.82925357000626
313		|	45,03		|	4,06	|	40.97150665642601
314		|	44,81		|	4,18	|	40.62714157706093
315		|	42,63		|	2,75	|	39.88271515151515
316		|	18,85		|	2,03	|	16.82207671957672
317		|	14,98		|	1,49	|	13.485205453149002
318		|	16,98		|	1,46	|	15.518759374717625
319		|	11,55		|	1,19	|	10.35942730880231
320		|	15,36		|	1,18	|	14.17883207070707
321		|	15,36		|	1,22	|	14.13883207070707
322		|	8,33		|	1,22	|	7.111414473684211
323		|	4,73		|	1,21	|	3.5176762820512817
324		|	3,50		|	1,17	|	2.3335096153846155
325		|	3,50		|	1,24	|	2.2635096153846153
326		|	3,50		|	1,21	|	2.2935096153846155
327		|	1,31		|	1,25	|	0.06257516339869285
328		|	1,32		|	1,19	|	0.1348529411764705
329		|	1,31		|	1,20	|	0.11257516339869289
330		|	1,31		|	1,19	|	0.1225751633986929
331		|	1,26		|	1,21	|	0.045527544351073646
332		|	1,26		|	1,20	|	0.05846405228758167
333		|	1,32		|	1,19	|	0.1348529411764705
334		|	1,29		|	1,20	|	0.09274691358024678
335		|	1,28		|	1,20	|	0.08046913580246917
336		|	1,28		|	1,22	|	0.060469135802469154
337		|	1,28		|	1,21	|	0.07046913580246916
338		|	1,28		|	1,21	|	0.07046913580246916
339		|	1,41		|	1,20	|	0.21201904761904777
340		|	1,31		|	1,21	|	0.10153580246913574
341		|	1,22		|	1,21	|	0.013421516754849927
342		|	1,41		|	1,20	|	0.21201904761904777
343		|	1,31		|	1,21	|	0.10153580246913574
344		|	1,28		|	1,20	|	0.08046913580246917
345		|	1,28		|	1,17	|	0.1104691358024692
346		|	1,33		|	1,24	|	0.09110524691358024
347		|	1,27		|	1,21	|	0.05818843404808316
348		|	1,31		|	1,20	|	0.11153580246913575
349		|	1,25		|	1,18	|	0.07448818342151675
350		|	1,27		|	1,21	|	0.05717777777777777
351		|	1,27		|	1,22	|	0.04717777777777776
352		|	1,25		|	1,20	|	0.054488183421516734
353		|	1,25		|	1,21	|	0.044488183421516725
354		|	1,27		|	1,19	|	0.07717777777777779
355		|	1,27		|	1,22	|	0.04818843404808315
356		|	1,25		|	1,20	|	0.054488183421516734
357		|	1,27		|	1,21	|	0.05818843404808316
358		|	1,27		|	1,21	|	0.05818843404808316
359		|	1,27		|	1,21	|	0.05818843404808316
360		|	1,27		|	1,22	|	0.04818843404808315
361		|	1,31		|	1,20	|	0.11153580246913575
362		|	1,32		|	1,21	|	0.10554159957058507
363		|	1,26		|	1,20	|	0.05849398052296584
364		|	1,26		|	1,24	|	0.021430488459473818
365		|	1,32		|	1,19	|	0.12554159957058508
366		|	1,25		|	1,18	|	0.07299065668630855
367		|	1,25		|	1,19	|	0.06299065668630854
368		|	1,32		|	1,19	|	0.12554159957058508
369		|	1,27		|	1,19	|	0.0811835748792269
370		|	1,27		|	1,21	|	0.05544444444444441
371		|	1,25		|	1,21	|	0.042990656686308526
372		|	1,31		|	1,20	|	0.11003827573392777
373		|	1,31		|	1,17	|	0.1400382757339278
374		|	1,31		|	1,17	|	0.1400382757339278
375		|	1,31		|	1,21	|	0.10003827573392776
376		|	1,31		|	1,20	|	0.11003827573392777
377		|	1,31		|	1,22	|	0.09003827573392775
378		|	1,31		|	1,22	|	0.09003827573392775
379		|	3,11		|	1,21	|	1.9035271253262263
380		|	3,19		|	1,21	|	1.9841233896940422
381		|	3,11		|	1,21	|	1.9035271253262263
382		|	3,19		|	1,20	|	1.9941233896940422
383		|	1,31		|	1,19	|	0.12003827573392778
384		|	3,11		|	1,24	|	1.8735271253262262
385		|	3,11		|	1,18	|	1.9335271253262263
386		|	3,12		|	1,18	|	1.9381095008051534
387		|	3,12		|	1,18	|	1.9381095008051534
388		|	3,11		|	1,17	|	1.9435271253262263
389		|	1,61		|	1,21	|	0.3987830687830687
390		|	1,61		|	1,17	|	0.44171957671957673
391		|	1,68		|	1,23	|	0.44810846560846573
392		|	1,45		|	1,21	|	0.23530626780626784
393		|	1,52		|	1,19	|	0.333758648758649
394		|	1,52		|	1,18	|	0.34375864875864903
395		|	1,45		|	1,20	|	0.24530626780626785
396		|	1,21		|	1,20	|	0.010462870462870422
397		|	1,21		|	1,20	|	0.010409394527041593
398		|	1,37		|	1,20	|	0.17116402116402107
399		|	1,22		|	1,19	|	0.03300094966761624
400		|	1,22		|	1,20	|	0.01878086419753089
401		|	1,94		|	1,19	|	0.7481750841750838
402		|	1,39		|	1,19	|	0.19557252165706007
403		|	1,37		|	1,19	|	0.18101851851851847
404		|	1,39		|	1,21	|	0.17501515151515168
405		|	1,40		|	1,22	|	0.18177009854429227
406		|	1,22		|	1,20	|	0.016969696969696857
407		|	1,23		|	1,22	|	0.010162571662571951
408		|	1,21		|	1,21	|	0.003152734778121724
409		|	1,21		|	1,21	|	0.0021157059314953486
410		|	1,20		|	1,21	|	0.006347763347763324
411		|	1,20		|	1,22	|	0.016347763347763333
412		|	1,20		|	1,24	|	0.03634776334776335
413		|	1,20		|	1,19	|	0.013652236652236693
414		|	1,27		|	1,17	|	0.09899749373433608
415		|	1,30		|	1,18	|	0.1229352226720648
416		|	1,21		|	1,21	|	0.004235588972431037
417		|	1,27		|	1,22	|	0.04899749373433604
418		|	1,20		|	1,20	|	0.0019285714285712796
419		|	1,21		|	1,19	|	0.017090592334494836
420		|	1,23		|	1,22	|	0.009596937113066195
421		|	1,23		|	1,20	|	0.029596937113066213
422		|	1,23		|	1,23	|	4.0306288693381376E-4
423		|	1,36		|	1,22	|	0.14480303030303032
424		|	1,23		|	1,20	|	0.029596937113066213
425		|	1,23		|	1,21	|	0.019596937113066204
426		|	1,22		|	1,23	|	0.005746519246519144
427		|	1,32		|	1,22	|	0.09529893529893552
428		|	1,39		|	1,22	|	0.16501515151515167
429		|	1,30		|	1,18	|	0.11524747474747477
430		|	1,23		|	1,25	|	0.02040306288693383
431		|	1,30		|	1,24	|	0.05524747474747471
432		|	1,30		|	1,21	|	0.08524747474747474
433		|	1,23		|	1,19	|	0.03959693711306622
434		|	1,39		|	1,23	|	0.15501515151515166
435		|	1,23		|	1,23	|	4.0306288693381376E-4
436		|	1,23		|	1,18	|	0.04959693711306623
437		|	1,23		|	1,23	|	4.0306288693381376E-4
438		|	1,21		|	1,19	|	0.02475573549257759
439		|	1,27		|	1,20	|	0.06761904761904769
440		|	1,39		|	1,20	|	0.1850151515151517
441		|	1,23		|	1,20	|	0.029596937113066213
442		|	1,23		|	1,21	|	0.019596937113066204
443		|	1,23		|	1,21	|	0.019596937113066204
444		|	1,30		|	1,24	|	0.05524747474747471
445		|	1,23		|	1,18	|	0.0529757029757032
446		|	1,22		|	1,20	|	0.024253480753480883
447		|	1,23		|	1,22	|	0.009596937113066195
448		|	1,30		|	1,22	|	0.08269191919191932
449		|	1,22		|	1,22	|	0.001733872910343548
450		|	1,24		|	1,19	|	0.05037902187902188
451		|	1,23		|	1,23	|	0.0017021475256771001
452		|	1,23		|	1,21	|	0.018319444444444555
453		|	1,28		|	1,23	|	0.05220833333333341
454		|	1,22		|	1,20	|	0.019597222222222266
455		|	1,23		|	1,23	|	0.0020370185425613307
456		|	1,34		|	1,21	|	0.1308234126984129
457		|	1,28		|	1,21	|	0.07220833333333343
458		|	1,44		|	1,21	|	0.23058823529411754
459		|	1,30		|	1,21	|	0.09404761904761894
460		|	1,30		|	1,22	|	0.08175003895901534
461		|	1,50		|	1,23	|	0.2749019607843137
462		|	1,23		|	1,22	|	0.007962981457438678
463		|	1,22		|	1,22	|	0.0026821946169772737
464		|	1,37		|	1,21	|	0.16420661464139719
465		|	1,45		|	1,21	|	0.23640537240537252
466		|	1,22		|	1,19	|	0.030162586773839983
467		|	2,06		|	1,20	|	0.856508547008547
468		|	1,38		|	1,21	|	0.17011965811965823
469		|	1,23		|	1,20	|	0.03306552924199968
470		|	1,22		|	1,21	|	0.014858320042530515
471		|	1,82		|	1,22	|	0.5959343434343432
472		|	2,46		|	1,22	|	1.2424756852343057
473		|	2,70		|	1,37	|	1.3329168657429524
474		|	4,30		|	1,99	|	2.3058994708994707
475		|	4,42		|	2,56	|	1.8621672771672775
476		|	4,45		|	3,28	|	1.1691369741369733
477		|	17,84		|	5,79	|	12.046706349206346
478		|	19,90		|	13,78	|	6.117724867724865
479		|	21,20		|	16,98	|	4.2245743145743155
480		|	51,89		|	18,72	|	33.16563492063493
481		|	20,89		|	33,43	|	12.538721139971138
482		|	49,98		|	33,09	|	16.89214285714285
483		|	47,41		|	30,64	|	16.77413165266106
484		|	49,98		|	42,48	|	7.502142857142857
485		|	125,66		|	36,70	|	88.95674610829782
486		|	135,11		|	48,33	|	86.78373931623933
487		|	89,25		|	52,95	|	36.29735042735042
488		|	108,18		|	53,54	|	54.64006507381507
489		|	135,11		|	65,25	|	69.86373931623933
490		|	170,45		|	101,31	|	69.13558306150978
491		|	136,43		|	111,77	|	24.6578542800968
492		|	199,69		|	92,73	|	106.96132189882188
493		|	167,91		|	78,00	|	89.91215523215524
494		|	51,67		|	70,93	|	19.26375287356322
495		|	95,34		|	90,83	|	4.514515151515155
496		|	167,91		|	69,01	|	98.90215523215524
497		|	167,91		|	83,05	|	84.86215523215525
498		|	139,33		|	67,33	|	71.99997048986818
499		|	118,21		|	82,49	|	35.724406455862976
500		|	166,37		|	118,96	|	47.41428214255443
501		|	133,45		|	125,35	|	8.097397690043863
502		|	222,56		|	132,22	|	90.34121320316973
503		|	139,33		|	135,96	|	3.369970489868166
504		|	106,32		|	138,27	|	31.954694902548738
505		|	166,37		|	120,33	|	46.04428214255442
506		|	145,39		|	106,41	|	38.97790895140665
507		|	166,37		|	121,17	|	45.20428214255442
508		|	246,27		|	138,11	|	108.16307506503156
509		|	175,10		|	128,28	|	46.82398121662851
510		|	246,27		|	115,94	|	130.33307506503158
511		|	246,27		|	93,31	|	152.96307506503157
512		|	155,62		|	121,60	|	34.01659996924616
513		|	175,10		|	142,58	|	32.5239812166285
514		|	140,28		|	142,81	|	2.53223832528181
515		|	173,72		|	138,16	|	35.55974173169824
516		|	166,37		|	152,32	|	14.054282142554428
517		|	299,21		|	125,74	|	173.46600435796086
518		|	299,21		|	119,95	|	179.25600435796088
519		|	118,21		|	195,96	|	77.74559354413704
520		|	299,21		|	153,61	|	145.59600435796085
521		|	299,21		|	123,69	|	175.51600435796087
522		|	299,21		|	149,94	|	149.26600435796087
523		|	299,21		|	160,28	|	138.92600435796086
524		|	299,21		|	181,06	|	118.14600435796086
525		|	299,21		|	135,78	|	163.42600435796086
526		|	299,21		|	115,16	|	184.04600435796087
527		|	299,21		|	135,29	|	163.91600435796087
528		|	299,21		|	193,56	|	105.64600435796086
529		|	205,67		|	291,13	|	85.45597255401603
530		|	140,28		|	373,61	|	233.33223832528182
531		|	299,21		|	384,66	|	85.45399564203916
532		|	156,84		|	269,61	|	112.76710869565221
533		|	140,28		|	239,52	|	99.24223832528182
534		|	173,83		|	116,20	|	57.63416347381862
535		|	393,33		|	96,85	|	296.47716524216526
536		|	356,75		|	168,63	|	188.11991582491584
537		|	266,85		|	117,81	|	149.04371212121208
538		|	266,85		|	163,91	|	102.94371212121209
539		|	266,85		|	132,11	|	134.74371212121207
540		|	278,00		|	111,87	|	166.12551036682612
541		|	228,67		|	82,37	|	146.2986195286195
542		|	228,67		|	75,01	|	153.6586195286195
543		|	269,54		|	50,66	|	218.8751525054466
544		|	278,00		|	38,66	|	239.33551036682613
545		|	228,67		|	28,76	|	199.9086195286195
546		|	228,67		|	27,89	|	200.77861952861952
547		|	278,00		|	24,68	|	253.31551036682612
548		|	228,67		|	24,75	|	203.9186195286195
549		|	179,91		|	22,15	|	157.75506397306398
550		|	277,49		|	17,39	|	260.1011812865498
551		|	371,88		|	14,14	|	357.74432748538015
552		|	228,16		|	15,08	|	213.08429044834313
553		|	220,77		|	15,01	|	205.7615969498911
554		|	228,16		|	18,32	|	209.84429044834314
555		|	340,11		|	17,38	|	322.7298535353535
556		|	340,11		|	19,69	|	320.4198535353535
557		|	340,11		|	22,25	|	317.8598535353535
558		|	327,87		|	42,66	|	285.21068686868693
559		|	352,49		|	81,23	|	271.2603524027459
560		|	384,90		|	192,81	|	192.08904761904762
561		|	463,17		|	308,69	|	154.48448677248683
